"eje","subtema","categoria","sexo","grupo_edad","id","indicador","unidad","cve_area","lugar","periodo","anio","trimestre","fecha","valor"
"Educación","Educación","% con media superior",NA,NA,"6200240314","Porcentaje de la población de 15 años y más con instrucción media superior","Porcentaje","19007","Aramberri","2020",2020,NA,2020-01-01,17.6433408577878
"Educación","Educación","% con media superior",NA,NA,"6200240314","Porcentaje de la población de 15 años y más con instrucción media superior","Porcentaje","19007","Aramberri","2025",2025,NA,2025-01-01,20.2863096856029
"Educación","Educación","% con media superior",NA,NA,"6200240314","Porcentaje de la población de 15 años y más con instrucción media superior","Porcentaje","19014","Doctor Arroyo","2015",2015,NA,2015-01-01,12.145956
"Educación","Educación","% con media superior",NA,NA,"6200240314","Porcentaje de la población de 15 años y más con instrucción media superior","Porcentaje","19014","Doctor Arroyo","2020",2020,NA,2020-01-01,15.3226443408893
"Educación","Educación","% con media superior",NA,NA,"6200240314","Porcentaje de la población de 15 años y más con instrucción media superior","Porcentaje","19014","Doctor Arroyo","2025",2025,NA,2025-01-01,18.3564603801613
"Educación","Educación","% con media superior",NA,NA,"6200240314","Porcentaje de la población de 15 años y más con instrucción media superior","Porcentaje","19024","General Zaragoza","2015",2015,NA,2015-01-01,14.962167
"Educación","Educación","% con media superior",NA,NA,"6200240314","Porcentaje de la población de 15 años y más con instrucción media superior","Porcentaje","19024","General Zaragoza","2020",2020,NA,2020-01-01,20.3837471783296
"Educación","Educación","% con media superior",NA,NA,"6200240314","Porcentaje de la población de 15 años y más con instrucción media superior","Porcentaje","19024","General Zaragoza","2025",2025,NA,2025-01-01,20.7992733878292
"Educación","Educación","% con media superior",NA,NA,"6200240314","Porcentaje de la población de 15 años y más con instrucción media superior","Porcentaje","19036","Mier y Noriega","2015",2015,NA,2015-01-01,7.7813505
"Educación","Educación","% con media superior",NA,NA,"6200240314","Porcentaje de la población de 15 años y más con instrucción media superior","Porcentaje","19036","Mier y Noriega","2020",2020,NA,2020-01-01,12.9517483883571
"Educación","Educación","% con media superior",NA,NA,"6200240314","Porcentaje de la población de 15 años y más con instrucción media superior","Porcentaje","19036","Mier y Noriega","2025",2025,NA,2025-01-01,16.2636505460218
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","00","Nacional","2010",2010,NA,2010-01-01,16.5
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","00","Nacional","2015",2015,NA,2015-01-01,18.630381
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","00","Nacional","2020",2020,NA,2020-01-01,21.5852248638655
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","00","Nacional","2025",2025,NA,2025-01-01,24.5044690957531
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","19","Nuevo León","2015",2015,NA,2015-01-01,24.172711
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","19","Nuevo León","2020",2020,NA,2020-01-01,26.2274388566847
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","19","Nuevo León","2025",2025,NA,2025-01-01,29.4364640261921
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","19007","Aramberri","2015",2015,NA,2015-01-01,6.1208406
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","19007","Aramberri","2020",2020,NA,2020-01-01,7.87358916478555
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","19007","Aramberri","2025",2025,NA,2025-01-01,8.73425749750838
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","19014","Doctor Arroyo","2015",2015,NA,2015-01-01,6.0219444
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","19014","Doctor Arroyo","2020",2020,NA,2020-01-01,8.40375957665271
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","19014","Doctor Arroyo","2025",2025,NA,2025-01-01,9.17316587325703
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","19024","General Zaragoza","2015",2015,NA,2015-01-01,5.198926
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","19024","General Zaragoza","2020",2020,NA,2020-01-01,7.72009029345372
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","19024","General Zaragoza","2025",2025,NA,2025-01-01,8.83287920072661
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","19036","Mier y Noriega","2015",2015,NA,2015-01-01,0.8145766
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","19036","Mier y Noriega","2020",2020,NA,2020-01-01,1.83629615159211
"Educación","Educación","% con instrucción superior",NA,NA,"6200240365","Porcentaje de la población de 15 años y más con instrucción superior","Porcentaje","19036","Mier y Noriega","2025",2025,NA,2025-01-01,2.51560062402496
"Educación","Educación","% sin instrucción",NA,NA,"6200240447","Porcentaje de la población de 15 años y más sin instrucción","Porcentaje","00","Nacional","2010",2010,NA,2010-01-01,7.2
"Educación","Educación","% sin instrucción",NA,NA,"6200240447","Porcentaje de la población de 15 años y más sin instrucción","Porcentaje","00","Nacional","2015",2015,NA,2015-01-01,5.82772838373973
