"eje","subtema","categoria","sexo","grupo_edad","id","indicador","unidad","cve_area","lugar","url"
"Población","Grupos de edad","Mujeres","Mujeres","15 a 19","1002000069","Población de 15 a 19 años. Mujeres","Personas","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000069/es/19036/false/BISE/2.0/"
"Población","Grupos de edad","Total","Total","20 a 24","1002000070","Población de 20 a 24 años","Personas","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000070/es/19007/false/BISE/2.0/"
"Población","Grupos de edad","Total","Total","20 a 24","1002000070","Población de 20 a 24 años","Personas","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000070/es/19014/false/BISE/2.0/"
"Población","Grupos de edad","Total","Total","20 a 24","1002000070","Población de 20 a 24 años","Personas","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000070/es/19024/false/BISE/2.0/"
"Población","Grupos de edad","Total","Total","20 a 24","1002000070","Población de 20 a 24 años","Personas","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000070/es/19036/false/BISE/2.0/"
"Población","Grupos de edad","Hombres","Hombres","20 a 24","1002000071","Población de 20 a 24 años. Hombres","Personas","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000071/es/19007/false/BISE/2.0/"
"Población","Grupos de edad","Hombres","Hombres","20 a 24","1002000071","Población de 20 a 24 años. Hombres","Personas","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000071/es/19014/false/BISE/2.0/"
"Población","Grupos de edad","Hombres","Hombres","20 a 24","1002000071","Población de 20 a 24 años. Hombres","Personas","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000071/es/19024/false/BISE/2.0/"
"Población","Grupos de edad","Hombres","Hombres","20 a 24","1002000071","Población de 20 a 24 años. Hombres","Personas","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000071/es/19036/false/BISE/2.0/"
"Población","Grupos de edad","Mujeres","Mujeres","20 a 24","1002000072","Población de 20 a 24 años. Mujeres","Personas","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000072/es/19007/false/BISE/2.0/"
"Población","Grupos de edad","Mujeres","Mujeres","20 a 24","1002000072","Población de 20 a 24 años. Mujeres","Personas","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000072/es/19014/false/BISE/2.0/"
"Población","Grupos de edad","Mujeres","Mujeres","20 a 24","1002000072","Población de 20 a 24 años. Mujeres","Personas","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000072/es/19024/false/BISE/2.0/"
"Población","Grupos de edad","Mujeres","Mujeres","20 a 24","1002000072","Población de 20 a 24 años. Mujeres","Personas","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000072/es/19036/false/BISE/2.0/"
"Población","Grupos de edad","Total","Total","25 a 29","1002000073","Población de 25 a 29 años","Personas","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000073/es/19007/false/BISE/2.0/"
"Población","Grupos de edad","Total","Total","25 a 29","1002000073","Población de 25 a 29 años","Personas","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000073/es/19014/false/BISE/2.0/"
"Población","Grupos de edad","Total","Total","25 a 29","1002000073","Población de 25 a 29 años","Personas","19024","General Zaragoza","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000073/es/19024/false/BISE/2.0/"
"Población","Grupos de edad","Total","Total","25 a 29","1002000073","Población de 25 a 29 años","Personas","19036","Mier y Noriega","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000073/es/19036/false/BISE/2.0/"
"Población","Grupos de edad","Hombres","Hombres","25 a 29","1002000074","Población de 25 a 29 años. Hombres","Personas","19007","Aramberri","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000074/es/19007/false/BISE/2.0/"
"Población","Grupos de edad","Hombres","Hombres","25 a 29","1002000074","Población de 25 a 29 años. Hombres","Personas","19014","Doctor Arroyo","https://www.inegi.org.mx/app/api/indicadores/desarrolladores/jsonxml/INDICATOR/1002000074/es/19014/false/BISE/2.0/"
